level_0,index,Channel,ST Carryover,ST Alpha,CPU,Max_Spend_Cap,Current_Budget,Min_Spend_Cap,Region,Brand,Channel Group,ST Current_ROI,LT Carryover,LT Alpha,LT Current ROI,Opt_Channel
0,0,6Play,0.37572284344185447,6.875994473842091e-05,1,60754.500000333006,40503.000000222004,0,France,Lion,OLV,0.5238106160926106,0.40028662485760047,5.551841443030745e-05,0.22939201748168264,6Play_France_Lion
1,1,Digital Video,0.3225601523280395,5.903079526844101e-05,1,918032.1881877601,612021.45879184,0,France,Lion,OLV,0.6091633856745003,0.4950024561123757,4.572286224581546e-05,0.382117685857683,Digital Video_France_Lion
2,2,Facebook_Instagram,0.09071338831247079,1.927785196914366e-05,1,454066.605002248,302711.0700014987,0,France,Lion,Social,2.1058058022564383,0.7158388846503666,2.7874692564735163e-05,1.728558506949499,Facebook_Instagram_France_Lion
3,3,Freewheel,0.3640049215720844,6.66154819401689e-05,1,24803.999999508,16535.999999672,0,France,Lion,OLV,0.3995264789879645,0.3951596532630909,5.591515893863686e-05,0.20844356563661012,Freewheel_France_Lion
4,4,Influencers,0.14280525776781633,3.742270923040695e-05,1,444745.500003369,296497.000002246,0,France,Lion,Social,1.107831372056554,0.2138310182074829,6.901203744317346e-05,0.31719468604912615,Influencers_France_Lion
5,5,MYTF1,0.3791433932525534,6.938592961015276e-05,1,22499.9999997525,14999.999999835,0,France,Lion,OLV,0.37552156438411977,0.29494877290500526,6.633476534501746e-05,0.1697046421197162,MYTF1_France_Lion
6,6,Programmatic,0.3714209901892086,6.797267508716665e-05,1,100420.49999793651,66946.99999862433,0,France,Lion,OLV,0.5361006391529621,0.4452278277642793,5.088801348075924e-05,0.25065196098358716,Programmatic_France_Lion
7,7,Snapchat,0.20127912310558851,3.6835506872447866e-05,1,113245.51499932149,75497.00999954766,0,France,Lion,Social,1.037113753245672,0.743430647005271,1.970600609953311e-05,0.7148092248061609,Snapchat_France_Lion
8,8,Spotify,0.37282343081972025,6.822933166777144e-05,1,37510.49999953649,25006.999999690997,0,France,Lion,Audio,0.6145185645115832,0.4655666804608837,4.881890963397053e-05,0.27905374741853645,Spotify_France_Lion
9,9,TV,0.09895100837712274,4.399024673273355e-05,1,1453384.5600084513,968923.0400056343,0,France,Lion,TV,0.2456973999860816,0.29223999145355306,4.610089193328634e-05,0.07340555906628073,TV_France_Lion
10,10,TV Sponsoring,0.8110215374930618,7.557648185648963e-06,1,2409002.0000056857,1606001.3333371237,0,France,Lion,TV,0.6260799884812053,0.9625907635626786,4.265098504117583e-06,0.6887518057786999,TV Sponsoring_France_Lion
11,11,Teads,0.3501111449797984,6.407282229791215e-05,1,19498.4999993515,12998.999999567666,0,France,Lion,OLV,0.42441788083058246,0.4677444477131459,4.8368022182784996e-05,0.2483482943311302,Teads_France_Lion
12,12,TikTok,0.2060459138707042,3.770786338552662e-05,1,7500.0000014775,5000.000000985,0,France,Lion,Social,1.2415302010533857,0.8610959211153535,7.979054079680268e-06,2.044317306059904,TikTok_France_Lion
13,13,YouTube,0.3249799963877994,5.9473643891379307e-05,1,267960.76904972096,178640.512699814,0,France,Lion,OLV,0.6252851515136006,0.5152139660646577,4.35839196344679e-05,0.2586412395550014,YouTube_France_Lion
0,0,Ad Alliance,0.17561070585626837,0.0004665678114687597,1,29056.637303325,19371.09153555,0,Germany,Nesquik,OLV,2.433067628179493,0.8449658086150199,6.932504177798413e-05,0.21738811318171344,Ad Alliance_Germany_Nesquik
1,1,Facebook,0.15704263885375924,0.00010162718905240654,1,48191.12585298,32127.41723532,0,Germany,Nesquik,Social,0.9438655503198072,0.25000000000000006,7.69431309699066e-05,0.5610486027676652,Facebook_Germany_Nesquik
2,2,Instagram,0.15738149725284462,0.00010189830748276479,1,56800.51914702001,37867.01276468,0,Germany,Nesquik,Social,0.9486473492105926,0.25,7.708959557459227e-05,0.5630413130844897,Instagram_Germany_Nesquik
3,3,Pinterest,0.1505142663342033,0.00031842399067570735,1,120578.77500000001,80385.85,0,Germany,Nesquik,Social,1.111230426367318,0.24999999999999997,0.0002762906335291901,0.6164596147503129,Pinterest_Germany_Nesquik
4,4,SevenOne,0.14732143400177414,0.00032040172838753594,1,67199.48495741356,44799.65663827571,0,Germany,Nesquik,OLV,2.0339697808876083,0.8497964864875204,6.979843438845523e-05,0.4731819081602104,SevenOne_Germany_Nesquik
5,5,TV Sponsoring,0.5341349547580733,2.6177197268221642e-05,1,1022810.8500000001,681873.9,0,Germany,Nesquik,TV,0.7713923667331667,0.7111230565597905,4.110765344674488e-05,0.7028762097032055,TV Sponsoring_Germany_Nesquik
6,6,YouTube,0.3472580542993372,2.417992518898366e-05,1,712556.014299,475037.342866,0,Germany,Nesquik,OLV,0.4923466062459311,0.7687789285751566,6.193007380131411e-05,0.36960002588861435,YouTube_Germany_Nesquik
0,0,6Play,0.047180307347076685,0.0001845950583952353,1,191276.2544716642,127517.50298110946,0,France,Chocapic,OLV,0.17727525309780462,0.19962786327131138,4.679272197122989e-05,0.4432112009771508,6Play_France_Chocapic
1,1,Bliink,0.02256747707376084,0.0003706364186444855,1,44999.999998424,29999.999998949334,0,France,Chocapic,OLV,0.3904873944116483,0.2591024111016015,4.414057641037322e-05,1.0321837128910814,Bliink_France_Chocapic
2,2,Captify,0.035131781653719926,0.0002777329385481368,1,75067.826998388,50045.217998925335,0,France,Chocapic,OLV,0.18066239783063906,0.4911432669471815,3.106831667312424e-05,0.38903346390644067,Captify_France_Chocapic
