Scenario,Budget,LT Revenue,ST Revenue,Total Revenue,Predicted Revenue,Region,Brand
region: Mexico brand: Nesquik budget: 100000,100000.0,117307.79340470604,113612.37798620251,230920.17139090854,367578.5878396408,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 1000000,1000000.0000090235,404348.720742471,787472.2281673762,1191820.9489098473,1821247.597226841,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 1100000,1100000.0000000002,424155.4271416241,828603.1938436634,1252758.6209852875,1877720.0400845152,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 1200000,1199999.9999999234,443954.0923995835,867124.3851712138,1311078.4775707973,1924545.8407100865,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 1300000,1300000.0000000002,463744.67559886054,903272.160950674,1367016.8365495345,1963372.8418642562,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 1400000,1400000.0000000002,483527.12817765825,937257.4819378714,1420784.6101155297,1995567.4012414005,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 1500000,1500000.0000000005,503301.3926910706,969268.9211686708,1472570.3138597414,2022262.4748416974,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 1600000,1600000.0000000002,523067.4041607852,999475.2929615335,1522542.6971223187,2044397.4867291767,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 1700000,1700000.0000003648,542825.0942346427,1028027.9500799382,1570853.044314581,2062751.3882241342,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 1800000,1800000.0000039968,562574.3978644961,1055062.7923116516,1617637.1901761477,2077970.0699130201,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 1900000,1900000.0000009425,582315.2191940346,1080702.066886883,1663017.2860809176,2090589.0911270597,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 200000,200000.0,226677.4678289835,224403.53361431803,451081.00144330156,672367.2740683588,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 2000000,2000000.0000000303,602047.4781571563,1105055.8714843723,1707103.3496415284,2101052.5267695463,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 2100000,2100000.0000000256,621771.0867991939,1128223.5386278753,1749994.6254270691,2109728.5947137857,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 2200000,2200000.0000006384,641485.9548771911,1150294.8261382831,1791780.7810154743,2116922.6137286364,Mexico,Nesquik
region: Mexico brand: Nesquik budget: 2300000,2299999.999999533,661191.8907771173,1171351.068540192,1832542.9593173093,2122887.747925084,Mexico,Nesquik
