index,Budget,Channel,Predicted Revenue,Region,Brand,Channel Group
0,10000,Facebook,1637.0674871113413,Mexico,Nesquik,Social
1,20000,Facebook,3234.2042598219286,Mexico,Nesquik,Social
2,30000,Facebook,4792.3842926106,Mexico,Nesquik,Social
3,40000,Facebook,6312.557803148908,Mexico,Nesquik,Social
4,50000,Facebook,7795.651831767998,Mexico,Nesquik,Social
5,60000,Facebook,9242.570806791267,Mexico,Nesquik,Social
6,70000,Facebook,10654.197096077654,Mexico,Nesquik,Social
7,80000,Facebook,12031.391545111965,Mexico,Nesquik,Social
8,90000,Facebook,13374.99400197025,Mexico,Nesquik,Social
9,100000,Facebook,14685.823829480412,Mexico,Nesquik,Social
10,110000,Facebook,15964.680404890481,Mexico,Nesquik,Social
11,120000,Facebook,17212.343607349063,Mexico,Nesquik,Social
12,130000,Facebook,18429.57429349544,Mexico,Nesquik,Social
13,140000,Facebook,19617.114761449215,Mexico,Nesquik,Social
14,150000,Facebook,20775.68920348255,Mexico,Nesquik,Social
15,160000,Facebook,21906.004147650914,Mexico,Nesquik,Social
16,170000,Facebook,23008.74888865183,Mexico,Nesquik,Social
17,180000,Facebook,24084.59590817424,Mexico,Nesquik,Social
18,190000,Facebook,25134.201284994888,Mexico,Nesquik,Social
19,200000,Facebook,26158.205095071786,Mexico,Nesquik,Social
20,210000,Facebook,27157.23180187873,Mexico,Nesquik,Social
21,220000,Facebook,28131.890637218985,Mexico,Nesquik,Social
22,230000,Facebook,29082.775972750253,Mexico,Nesquik,Social
23,240000,Facebook,30010.467682447597,Mexico,Nesquik,Social
24,250000,Facebook,30915.53149622524,Mexico,Nesquik,Social
25,260000,Facebook,31798.519344933065,Mexico,Nesquik,Social
26,270000,Facebook,32659.969696938,Mexico,Nesquik,Social
27,280000,Facebook,33500.407886495654,Mexico,Nesquik,Social
28,290000,Facebook,34320.346434112515,Mexico,Nesquik,Social
29,300000,Facebook,35120.28535909388,Mexico,Nesquik,Social
30,310000,Facebook,35900.712484468364,Mexico,Nesquik,Social
31,320000,Facebook,36662.10373447468,Mexico,Nesquik,Social
32,330000,Facebook,37404.92342479235,Mexico,Nesquik,Social
33,340000,Facebook,38129.62454569315,Mexico,Nesquik,Social
34,350000,Facebook,38836.649038286065,Mexico,Nesquik,Social
35,360000,Facebook,39526.42806402418,Mexico,Nesquik,Social
36,370000,Facebook,40199.38226763783,Mexico,Nesquik,Social
37,380000,Facebook,40855.92203365448,Mexico,Nesquik,Social
38,390000,Facebook,41496.44773666155,Mexico,Nesquik,Social
39,400000,Facebook,42121.34998546499,Mexico,Nesquik,Social
40,410000,Facebook,42731.00986129249,Mexico,Nesquik,Social
41,420000,Facebook,43325.79915018638,Mexico,Nesquik,Social
42,430000,Facebook,43906.08056972827,Mexico,Nesquik,Social
43,440000,Facebook,44472.20799023332,Mexico,Nesquik,Social
44,450000,Facebook,45024.526650549444,Mexico,Nesquik,Social
45,460000,Facebook,45563.37336859261,Mexico,Nesquik,Social
46,470000,Facebook,46089.07674674702,Mexico,Nesquik,Social
47,480000,Facebook,46601.95737225508,Mexico,Nesquik,Social
48,490000,Facebook,47102.32801271972,Mexico,Nesquik,Social
49,500000,Facebook,47590.49380683794,Mexico,Nesquik,Social
50,510000,Facebook,48066.75245048215,Mexico,Nesquik,Social
51,520000,Facebook,48531.394378242636,Mexico,Nesquik,Social
52,530000,Facebook,48984.70294054197,Mexico,Nesquik,Social
53,540000,Facebook,49426.95457642923,Mexico,Nesquik,Social
54,550000,Facebook,49858.418982159565,Mexico,Nesquik,Social
55,560000,Facebook,50279.35927566182,Mexico,Nesquik,Social
56,570000,Facebook,50690.032156994486,Mexico,Nesquik,Social
57,580000,Facebook,51090.688064887916,Mexico,Nesquik,Social
58,590000,Facebook,51481.57132946822,Mexico,Nesquik,Social
59,600000,Facebook,51862.920321255944,Mexico,Nesquik,Social
60,610000,Facebook,52234.967596530456,Mexico,Nesquik,Social
61,620000,Facebook,52597.9400391487,Mexico,Nesquik,Social
62,630000,Facebook,52952.05899890467,Mexico,Nesquik,Social
