index,Budget,Channel,Predicted Revenue,Region,Brand,Channel Group
0,10000,Facebook,5189.206864017848,Mexico,Nesquik,Social
1,20000,Facebook,5485.269432422223,Mexico,Nesquik,Social
2,30000,Facebook,5502.16084698848,Mexico,Nesquik,Social
3,40000,Facebook,5503.124561812638,Mexico,Nesquik,Social
4,50000,Facebook,5503.179545145067,Mexico,Nesquik,Social
5,60000,Facebook,5503.182682138262,Mexico,Nesquik,Social
6,70000,Facebook,5503.182861114796,Mexico,Nesquik,Social
7,80000,Facebook,5503.182871326039,Mexico,Nesquik,Social
8,90000,Facebook,5503.182871908627,Mexico,Nesquik,Social
9,100000,Facebook,5503.182871941865,Mexico,Nesquik,Social
10,110000,Facebook,5503.182871943762,Mexico,Nesquik,Social
11,120000,Facebook,5503.18287194387,Mexico,Nesquik,Social
12,130000,Facebook,5503.182871943875,Mexico,Nesquik,Social
13,140000,Facebook,5503.182871943876,Mexico,Nesquik,Social
14,150000,Facebook,5503.182871943876,Mexico,Nesquik,Social
15,160000,Facebook,5503.182871943876,Mexico,Nesquik,Social
16,170000,Facebook,5503.182871943876,Mexico,Nesquik,Social
17,180000,Facebook,5503.182871943876,Mexico,Nesquik,Social
18,190000,Facebook,5503.182871943876,Mexico,Nesquik,Social
19,200000,Facebook,5503.182871943876,Mexico,Nesquik,Social
20,210000,Facebook,5503.182871943876,Mexico,Nesquik,Social
21,220000,Facebook,5503.182871943876,Mexico,Nesquik,Social
22,230000,Facebook,5503.182871943876,Mexico,Nesquik,Social
23,240000,Facebook,5503.182871943876,Mexico,Nesquik,Social
24,250000,Facebook,5503.182871943876,Mexico,Nesquik,Social
25,260000,Facebook,5503.182871943876,Mexico,Nesquik,Social
26,270000,Facebook,5503.182871943876,Mexico,Nesquik,Social
27,280000,Facebook,5503.182871943876,Mexico,Nesquik,Social
28,290000,Facebook,5503.182871943876,Mexico,Nesquik,Social
29,300000,Facebook,5503.182871943876,Mexico,Nesquik,Social
30,310000,Facebook,5503.182871943876,Mexico,Nesquik,Social
31,320000,Facebook,5503.182871943876,Mexico,Nesquik,Social
32,330000,Facebook,5503.182871943876,Mexico,Nesquik,Social
33,340000,Facebook,5503.182871943876,Mexico,Nesquik,Social
34,350000,Facebook,5503.182871943876,Mexico,Nesquik,Social
35,360000,Facebook,5503.182871943876,Mexico,Nesquik,Social
36,370000,Facebook,5503.182871943876,Mexico,Nesquik,Social
37,380000,Facebook,5503.182871943876,Mexico,Nesquik,Social
