,0,1
0,DOOH_Chile_Chocapic,15146023.956131432
1,Display_Chile_Chocapic,15146023.956131432
2,Facebook_Instagram_Chile_Chocapic,15131731.455797326
3,Open TV_Chile_Chocapic,15062350.17479733
4,POS_Chile_Chocapic,15023475.422364473
5,Pay TV_Chile_Chocapic,15040303.272779856
6,Search_Chile_Chocapic,14471361.329596894
7,YouTube_Chile_Chocapic,14826547.991699325
8,6Play_France_Chocapic,191276.2544716642
9,Bliink_France_Chocapic,44999.999998424
10,Captify_France_Chocapic,75067.826998388
11,MYTF1_France_Chocapic,312006.1171546323
12,OLV_France_Chocapic,7851.5008963539985
13,Print_France_Chocapic,48639.916061174896
14,Programmatic_France_Chocapic,247877.1854391462
15,TV_France_Chocapic,7168719.195058085
16,Teads_France_Chocapic,150780.0487778705
17,YouTube_France_Chocapic,131897.013871633
18,6Play_France_Lion,60754.500000333006
19,Digital Video_France_Lion,918032.1881877601
20,Facebook_Instagram_France_Lion,454066.605002248
21,Freewheel_France_Lion,24803.999999508
22,Influencers_France_Lion,444745.500003369
23,MYTF1_France_Lion,22499.9999997525
24,Programmatic_France_Lion,100420.49999793651
25,Snapchat_France_Lion,113245.51499932149
26,Spotify_France_Lion,37510.49999953649
27,TV_France_Lion,1453384.5600084513
28,TV Sponsoring_France_Lion,2409002.0000056857
29,Teads_France_Lion,19498.4999993515
30,TikTok_France_Lion,0.0
31,YouTube_France_Lion,112970.48843967228
32,Bvod_UK_Shreddies,544328.264720064
33,CTV_UK_Shreddies,180758.6269395705
34,Display_UK_Shreddies,210223.5647412256
35,Facebook_UK_Shreddies,254199.27437696297
36,Instagram_UK_Shreddies,225826.92397523264
37,NBC Digital_UK_Shreddies,314304.2107412815
38,NBC Search_UK_Shreddies,81201.34496542992
39,NBC Social_UK_Shreddies,399440.3699688923
40,NBC WG BVOD_UK_Shreddies,0.0
41,NBC WG Display_UK_Shreddies,157360.98478884326
42,NBC WG Social_UK_Shreddies,0.0
43,NBC WG TV_UK_Shreddies,1847251.5002486722
44,NBC WG VOD_UK_Shreddies,0.0
45,NBD WG YouTube_UK_Shreddies,0.0
46,Search_UK_Shreddies,111763.51491675415
47,TV_UK_Shreddies,3535290.7336262185
48,TV Sponsoring_UK_Shreddies,1519071.4278531107
49,Vod_UK_Shreddies,84769.54859847712
50,YouTube_UK_Shreddies,233013.5237087147
51,Bvod_Australia_Uncle Toby's,376497.61462108494
52,Display_Australia_Uncle Toby's,57027.00003955647
53,Facebook_Australia_Uncle Toby's,287819.1472389431
54,Instagram_Australia_Uncle Toby's,130971.19778750192
55,Instream_Australia_Uncle Toby's,173538.54194346516
56,Metro TV_Australia_Uncle Toby's,3787011.899770287
57,OLV_Australia_Uncle Toby's,0.0
58,OOH_Australia_Uncle Toby's,3163116.5966559397
59,Pinterest_Australia_Uncle Toby's,0.0
60,RTV TV_Australia_Uncle Toby's,818295.7501767029
61,Radio_Australia_Uncle Toby's,311498.5956919191
62,Satellite TV_Australia_Uncle Toby's,673806.599602206
63,Search_Australia_Uncle Toby's,0.0
64,Twitter_Australia_Uncle Toby's,0.0
65,YouTube_Australia_Uncle Toby's,2302668.2436950817
