,Channel,Variable,Carryover,Alpha,Cost per,Max Spend Cap,Current Budget,Current ROI,Min Spend Cap
0,BVOD,BVOD_Imps,0.269774264,4.47E-05,1,11608.56321,202137.5069,1.335418864,0
1,CTV,CTV_Imps,0.272187299,0.00045586,1,12773.45416,120505.7513,1.443167635,0
2,DISPLAY,DISPLAY_Imps,0.214127616,0.000338333,1,1334.115754,24025.2984,56.07501856,0
3,NBC_DIGITAL,NBC_DIGITAL_Spends,0.255806263,5.29E-05,1,4933.725069,209536.1405,3.660518575,0
4,NBC_PPC_Total,NBC_PPC_Total_Spends,0.256542161,5.22E-05,1,2053.249996,54134.22998,4.440625307,0
5,NBC_SOCIAL_FACEBOOK,NBC_SOCIAL_FACEBOOK_Spends,0.256124757,5.40E-05,1,21612.6329,126907.4545,2.880242185,0
6,NBC_SOCIAL_INSTAGRAM,NBC_SOCIAL_INSTAGRAM_Spends,0.255168552,5.48E-05,1,9254.133227,50504.13552,3.035474014,0
7,NBC_Social_FB_PB,NBC_Social_FB_PB_Spends,0.260950512,5.15E-05,1,9293.949244,56056.96396,3.822272568,0
8,NBC_Social_IG_PB,NBC_Social_IG_PB_Spends,0.258948874,5.22E-05,1,5342.839999,32825.02602,3.941695166,0
9,NBC_TV_WHOLEGRAIN,NBC_TV_WHOLEGRAIN_Spends,0.210817104,1.93E-05,1,106822.8503,1231501,1.207807072,0
10,NBC_WG_DG_BVOD,NBC_WG_DG_BVOD_Spends,0.203082507,2.20E-05,1,13511.35183,199487.6253,1.539507535,0
11,NBC_WG_DG_Display,NBC_WG_DG_Display_Spends,0.210948176,2.05E-05,1,40346.99403,104907.3232,1.617227308,0
12,NBC_WG_DG_VOD,NBC_WG_DG_VOD_Spends,0.203911896,2.16E-05,1,7650.185429,86020.75454,1.641511835,0
13,NBC_WG_DG_YouTube,NBC_WG_DG_YouTube_Spends,0.200139753,2.32E-05,1,4401.318531,64085.26171,1.522212652,0
14,NBC_WG_Social_FB_IG_PB2021,NBC_WG_Social_FB_IG_PB2021_Spends,0.202836631,2.19E-05,1,9687.177419,18241.40981,1.205729397,0
15,NBC_WG_Social_FB_IG_WG_2020,NBC_WG_Social_FB_IG_WG_2020_Spends,0.206183372,2.07E-05,1,18357.53004,72742.78978,1.495437471,0
16,NBC_WG_Social_FB_IG_WG_LNA,NBC_WG_Social_FB_IG_WG_LNA_Spends,0.205491149,2.15E-05,1,28608.00988,106655.5896,1.627601205,0
17,NBC_WG_Social_FB_IG_WG_LNT,NBC_WG_Social_FB_IG_WG_LNT_Spends,0.204418768,2.20E-05,1,17973.51013,71772.88981,1.66624384,0
18,SH_DG_BVOD,SH_DG_BVOD_Imps,0.460688584,0.000441157,1,13498.37847,118799.9247,2.820971902,0
19,SH_DG_BVOD_SFA,SH_DG_BVOD_SFA_Imps,0.271034501,0.000373174,1,6640.065587,41948.07821,1.538250495,0
20,SH_DG_Display,SH_DG_Display_Imps,0.220147928,0.000183121,1,11005.09525,74048.0979,5.100695864,0
21,SH_DG_Display_SFA,SH_DG_Display_SFA_Imps,0.228718277,0.000187566,1,8664.282428,42075.64686,4.393530927,0
22,SH_DG_Search_SFA,SH_DG_Search_SFA_Imps,0.271446819,4.80E-05,1,922.5400013,24971.24996,2.97703927,0
23,SH_DG_VOD,SH_DG_VOD_Imps,0.28017624,0.000512068,1,1130.600504,6188.252593,1.49944119,0
24,SH_DG_VOD_SFA,SH_DG_VOD_SFA_Imps,0.268982828,0.00044285,1,9503.042423,50324.77981,2.083085267,0
25,SH_DG_YouTube,SH_DG_YouTube_Imps,0.415134417,4.36E-05,1,5372.312626,31259.02272,6.710916397,0
26,SH_DG_YouTube_SFA,SH_DG_YouTube_SFA_Imps,0.40774274,4.16E-05,1,4430.079191,29996.74833,6.857579942,0
27,SH_PPC,SH_PPC_Imps,0.282506617,0.001498317,1,701.5350004,23407.26998,27.92013326,0
28,SOCIAL_FACEBOOK,SOCIAL_FACEBOOK_Imps,0.344937796,0.000239833,1,8970.485514,169466.1829,3.851625674,0
29,SOCIAL_INSTAGRAM,SOCIAL_INSTAGRAM_Imps,0.352360561,0.000239138,1,11308.25836,218153.6369,4.977491942,0
30,Search,Search_Imps,0.274922049,4.79E-05,1,404.4550003,26130.49,4.897902055,0
31,YOUTUBE,YOUTUBE_Imps,0.401484373,0.000224,1,4463.95397,94086.57809,5.257261615,0
