Channel,Carryover,Alpha,CPU,Max_Spend_Cap,Current_Budget,Min_Spend_Cap,Current_ROI
Bvod,0.2737176651174591,2.661951976457332e-05,1,544328.264720064,362885.509813376,0,1.93
CTV,0.27600339304163235,0.00028969907677756757,1,180758.6269395705,120505.751293047,0,1.68
Display,0.2158454313608485,0.00024363372371676446,1,210223.5647412256,140149.04316081706,0,9.27
Facebook,0.34291151446222995,0.00022400927320970549,1,254199.27437696297,169466.18291797533,0,2.66
Instagram,0.34835500236985384,0.000247005605751922,1,327230.4553165897,218153.63687772647,0,3.51
NBC WG BVOD,0.20857585299290815,2.5922318440112848e-05,1,299231.4379854958,199487.62532366384,0,0.77
NBC WG Social,0.20963209821997017,2.5395059291551256e-05,1,404119.01849319483,269412.67899546324,0,0.9
NBC WG TV,0.21933801102349398,2.287207984635012e-05,1,1847251.5002486722,1231501.0001657815,0,0.85
NBC WG VOD,0.2094995361389547,2.532289421458536e-05,1,129031.13180341339,86020.75453560892,0,0.8
NBC WG display,0.22384052771075413,2.2672673195946253e-05,1,157360.98478884326,104907.32319256217,0,0.83
NBC digital,0.24897727269574949,5.530137260397559e-05,1,314304.2107412815,209536.14049418768,0,2.16
NBC Search,0.2503764448920461,5.541786653676817e-05,1,81201.34496542992,54134.229976953284,0,2.56
NBC social,0.252023599251062,5.3845108379694986e-05,1,399440.3699688923,266293.57997926156,0,1.97
NBC WG YT,0.20410612607852469,2.7643162610670286e-05,1,96127.89256470418,64085.261709802784,0,0.76
PPC,0.2781442774687377,0.001012785014933777,1,111763.51491675415,74509.00994450277,0,5.81
TV Sponsorship,0.6191693303089874,4.836891787286722e-05,1,1519071.4278531107,1012714.2852354071,0,2.95
TV,0.382756653317939,1.4744354139193505e-05,1,3535290.7336262185,2356860.4890841455,0,0.31
Vod,0.2750734114232954,0.0002730019091111272,1,84769.54859847712,56513.032398984746,0,2.61
YT,0.3988938325191585,0.00023910796614155067,1,233013.5237087147,155342.34913914313,0,3.65
