Date,BVOD,CTV,DISPLAY,NBC_DIGITAL,NBC_PPC_Total,NBC_SOCIAL_FACEBOOK,NBC_SOCIAL_INSTAGRAM,NBC_Social_FB_PB,NBC_Social_IG_PB,NBC_TV_WHOLEGRAIN,NBC_WG_DG_BVOD,NBC_WG_DG_Display,NBC_WG_DG_VOD,NBC_WG_DG_YouTube,NBC_WG_Social_FB_IG_PB2021,NBC_WG_Social_FB_IG_WG_2020,NBC_WG_Social_FB_IG_WG_LNA,NBC_WG_Social_FB_IG_WG_LNT,SH_DG_BVOD,SH_DG_BVOD_SFA,SH_DG_Display,SH_DG_Display_SFA,SH_DG_Search_SFA,SH_DG_VOD,SH_DG_VOD_SFA,SH_DG_YouTube,SH_DG_YouTube_SFA,SH_PPC,SOCIAL_FACEBOOK,SOCIAL_INSTAGRAM,Search,YOUTUBE
04/07/2020,0,0,0,0,0,0,0,0,0,89677.94551,0,0,0,0,0,12399.95003,0,0,0,0,0,0,0,0,0,0,0,514.1200037,0,0,0,0
11/07/2020,0,0,0,0,0,0,0,0,0,81729.80837,6656.657248,0,5974.930229,1286.071826,0,16756.49987,0,0,0,0,0,0,0,0,0,0,0,372.1699997,0,0,0,0
18/07/2020,0,0,0,0,0,0,0,0,0,87217.24555,11738.89493,0,6869.735164,1933.49205,0,19091.91986,0,0,0,0,0,0,0,0,0,0,0,695.0099984,0,0,0,0
25/07/2020,0,0,0,0,0,0,0,0,0,0,15297.01181,0,7650.185429,1096.923606,0,18357.53004,0,0,0,0,0,0,0,0,0,0,0,445.0500015,0,0,0,0
01/08/2020,0,0,0,0,0,0,0,0,0,82822.02773,13484.01862,0,8416.330988,829.9788576,0,6136.88998,0,0,14789.61708,0,0,0,0,0,0,0,0,101.4099996,0,0,0,0
08/08/2020,0,0,0,0,0,0,0,0,0,0,11177.087,0,8606.791021,2280.746294,0,0,0,0,19709.24195,0,0,0,0,0,0,0,0,508.0400034,0,0,0,0
15/08/2020,0,0,0,0,0,0,0,0,0,84399.90573,14025.66678,0,7431.480013,2188.999408,0,0,0,0,18171.11017,0,0,0,0,0,0,0,0,530.1399985,0,0,0,0
22/08/2020,0,0,0,0,0,0,0,0,0,0,13695.11753,0,5498.686974,2648.185506,0,0,0,0,14575.74346,0,0,0,0,0,0,0,0,483.410001,0,0,0,0
29/08/2020,0,0,0,0,0,0,0,0,0,154233.1389,9610.76139,0,6150.146542,2869.877428,0,0,0,0,10266.2835,0,0,0,0,0,0,0,0,550.8699952,0,0,0,0
05/09/2020,0,0,0,0,0,0,0,0,0,0,7827.932456,0,6196.184798,3252.767891,0,0,0,0,27.00367768,0,0,0,0,0,0,0,0,519.1899982,0,0,0,0
12/09/2020,0,0,0,0,0,0,0,0,0,95496.33716,11957.58526,0,5156.663968,3792.076571,0,0,0,0,0,0,0,0,0,0,0,0,0,395.8699947,0,0,0,0
19/09/2020,0,0,0,0,0,0,0,0,0,0,11942.90531,0,5356.286812,3813.684498,0,0,0,0,0,0,0,0,0,0,0,0,0,330.4499977,0,0,0,0
26/09/2020,0,0,0,0,0,0,0,0,0,125461.5914,10247.77884,0,10311.54135,3569.862599,0,0,0,0,0,0,0,0,0,0,0,0,0,315.1799969,0,0,0,0
03/10/2020,0,0,0,0,0,0,0,0,0,0,6852.523428,0,2401.791252,4597.196541,0,0,0,0,0,0,0,0,0,0,0,0,0,279.1299999,0,0,0,0
10/10/2020,0,0,0,0,0,0,0,0,0,0,1723.98367,38204.74576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.7999979,0,0,0,0
17/10/2020,0,0,0,0,0,0,0,0,0,0,0,24213.33512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.8199934,0,0,0,0
24/10/2020,0,0,0,0,0,0,0,0,0,0,0,42489.24231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.0600024,0,0,0,0
31/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1595.500007,0,0,0,0,0,0,0,0,0,560.4800001,0,0,0,0
07/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26508.33991,17115.67997,0,0,0,0,0,0,0,0,0,713.9999942,0,0,0,0
14/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28608.00988,17088.91979,0,0,0,0,0,0,0,0,0,1369.439999,0,0,0,0
21/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31707.90995,17973.51013,0,0,0,0,0,0,0,0,0,3093.929986,0,0,0,0
28/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15954.06984,17999.27991,0,0,0,0,0,0,0,0,0,1430.389999,0,0,0,0
05/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3877.260027,0,0,0,0,0,0,0,0,0,0,931.5900008,0,0,0,0
12/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.0400011,0,0,0,0
19/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.4200004,0,0,0,0
26/12/2020,0,0,0,0,0,0,0,0,0,44507.76463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.63000001,0,0,0,0
02/01/2021,0,0,0,0,0,0,0,0,0,77056.17504,7608.591837,0,0,2885.954562,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89000003,0,0,0,0
