Channel,Alpha,Beta,Carryover,Cost per,Budget,Max Spend Cap
TV North,0.001,"164,004",0.7,£430.96,"£1,638.40",641782.6802
TV Central,0.001,"163,854",0.7,£492.94,"£1,341.30",696975.5579
TV South,0.001,"162,592",0.7,"£1,399.86","£116,870.80",1485332.286
TV Scotland,0.001,"164,010",0.7,£516.72,"£158,995.50",650019.4755
VOD North,0.0000002,"37,706",0.6,£0.07,"£25,768.30",255049.1833
VOD Central,0.0000002,"37,984",0.6,£0.06,"£41,354.70",383471.5808
VOD South,0.0000002,"38,356",0.6,£0.04,"£45,877.30",409919.6674
VOD Scotland,0.0000002,"38,031",0.6,£0.04,"£33,123.50",300843.5684
Cinema North,0.00009,"2,410",0.6,£0.14,"£12,753.80",56422.51899
Cinema Central,0.00009,"11,685",0.6,£1.35,"£26,590.80",91442.64634
Cinema South,0.00009,"10,893",0.6,£0.54,"£34,358.70",128647.2031
Cinema Scotland,0.00009,"7,758",0.6,£0.60,"£21,583.10",73487.63156
Digital Audio North,0.0001,"16,915",0.6,£0.01,"£20,445.80",432091.8767
Digital Audio Central,0.0001,"2,236",0.6,£0.02,"£6,177.00",62205.21525
Digital Audio South,0.0001,"4,943",0.6,£0.01,"£8,405.80",93965.2594
Digital Audio Scotland,0.0001,"21,681",0.6,£0.01,"£36,065.90",39431.64866
OOH North,0.00006,"19,353",0.75,£1.17,"£37,638.80",320326.2756
OOH Central,0.00006,"26,178",0.75,£1.07,"£77,992.10",867250.6043
OOH South,0.00006,"40,324",0.75,£1.01,"£149,330.50",1829415.24
OOH Scotland,0.00006,"21,842",0.75,£1.07,"£40,801.70",363007.8806
Print North,0.000002,"177,363",0.6,£1.23,"£9,169.30",121946.4209
Print Central,0.000002,"177,363",0.6,£1.29,"£9,292.90",127751.0146
Print South,0.000002,"180,025",0.6,£1.01,"£50,476.80",638982.5176
Print Scotland,0.000002,"177,363",0.6,£1.12,"£9,612.00",111320.0469
Social Facebook/Insta North,0.000002,"29,883",0.2,£0.01,"£45,203.70",89637.77596
Social Facebook/Insta Central,0.000002,"39,012",0.2,£0.01,"£49,109.10",154117.3393
Social Facebook/Insta South,0.000002,"40,953",0.2,£0.00,"£46,056.00",135529.8758
Social Facebook/Insta Scotland,0.000002,"28,126",0.2,£0.01,"£43,469.30",60715.00888
Social Twitter North,0.000002,"31,121",0.2,£0.01,"£50,624.70",117058.8233
Social Twitter Central,0.000002,"29,385",0.2,£0.01,"£46,381.80",100354.7169
Social Twitter South,0.000002,"40,592",0.2,£0.00,"£54,298.00",131690.4749
Social Twitter Scotland,0.000002,"30,132",0.2,£0.01,"£48,139.20",90895.98498
Display North,0.0000002,"393,704",0.4,£0.01,"£77,484.10",77484.06701
Display Central,0.0000002,"394,889",0.4,£0.02,"£90,299.00",117087.5903
Display South,0.0000002,"419,199",0.4,£0.01,"£133,088.70",210035.5521
Display Scotland,0.0000002,"394,108",0.4,£0.01,"£91,143.60",95392.79058
Regional Radio ,0.01,"8,902",0.4,£1.06,"£161,382.10",200000
