Time_Period,Budget/Revenue,Value,Optimisation Type,Channel,Scenario
22/01/2023,Budget,55693.41746,Blended,TV,Actual Budget - Not Optimised
22/01/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
22/01/2023,Budget,0,Blended,Shopmium,Actual Budget - Not Optimised
22/01/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
22/01/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
22/01/2023,Budget,0,Blended,Social Pinterest,Actual Budget - Not Optimised
29/01/2023,Budget,55693.41746,Blended,TV,Actual Budget - Not Optimised
29/01/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
29/01/2023,Budget,0,Blended,Shopmium,Actual Budget - Not Optimised
29/01/2023,Budget,0,Blended,Programmatic Video,Actual Budget - Not Optimised
29/01/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
29/01/2023,Budget,0,Blended,Social Pinterest,Actual Budget - Not Optimised
05/02/2023,Budget,55693.41746,Blended,TV,Actual Budget - Not Optimised
05/02/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
05/02/2023,Budget,0,Blended,Shopmium,Actual Budget - Not Optimised
05/02/2023,Budget,8202.240157,Blended,Programmatic Video,Actual Budget - Not Optimised
05/02/2023,Budget,8189.739307,Blended,BVOD,Actual Budget - Not Optimised
05/02/2023,Budget,0,Blended,Social Pinterest,Actual Budget - Not Optimised
12/02/2023,Budget,55693.41746,Blended,TV,Actual Budget - Not Optimised
12/02/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
12/02/2023,Budget,959.7777778,Blended,Shopmium,Actual Budget - Not Optimised
12/02/2023,Budget,8728.811504,Blended,Programmatic Video,Actual Budget - Not Optimised
12/02/2023,Budget,9003.232053,Blended,BVOD,Actual Budget - Not Optimised
12/02/2023,Budget,0,Blended,Social Pinterest,Actual Budget - Not Optimised
19/02/2023,Budget,55693.41746,Blended,TV,Actual Budget - Not Optimised
19/02/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
19/02/2023,Budget,959.7777778,Blended,Shopmium,Actual Budget - Not Optimised
19/02/2023,Budget,8728.811504,Blended,Programmatic Video,Actual Budget - Not Optimised
19/02/2023,Budget,9003.232053,Blended,BVOD,Actual Budget - Not Optimised
19/02/2023,Budget,0,Blended,Social Pinterest,Actual Budget - Not Optimised
26/02/2023,Budget,55693.41746,Blended,TV,Actual Budget - Not Optimised
26/02/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
26/02/2023,Budget,959.7777778,Blended,Shopmium,Actual Budget - Not Optimised
26/02/2023,Budget,8728.811504,Blended,Programmatic Video,Actual Budget - Not Optimised
26/02/2023,Budget,9003.232053,Blended,BVOD,Actual Budget - Not Optimised
26/02/2023,Budget,0,Blended,Social Pinterest,Actual Budget - Not Optimised
05/03/2023,Budget,55693.41746,Blended,TV,Actual Budget - Not Optimised
05/03/2023,Budget,0,Blended,Social Pinterest ,Actual Budget - Not Optimised
05/03/2023,Budget,959.7777778,Blended,Shopmium,Actual Budget - Not Optimised
05/03/2023,Budget,8728.811504,Blended,Programmatic Video,Actual Budget - Not Optimised
05/03/2023,Budget,9003.232053,Blended,BVOD,Actual Budget - Not Optimised
05/03/2023,Budget,0,Blended,Social Pinterest,Actual Budget - Not Optimised
12/03/2023,Budget,55693.41746,Blended,TV,Actual Budget - Not Optimised
12/03/2023,Budget,6825.9075,Blended,Social Pinterest ,Actual Budget - Not Optimised
12/03/2023,Budget,959.7777778,Blended,Shopmium,Actual Budget - Not Optimised
12/03/2023,Budget,8728.811504,Blended,Programmatic Video,Actual Budget - Not Optimised
12/03/2023,Budget,9003.232053,Blended,BVOD,Actual Budget - Not Optimised
12/03/2023,Budget,0,Blended,Social Pinterest,Actual Budget - Not Optimised
19/03/2023,Budget,55693.41746,Blended,TV,Actual Budget - Not Optimised
19/03/2023,Budget,6825.9075,Blended,Social Pinterest ,Actual Budget - Not Optimised
19/03/2023,Budget,959.7777778,Blended,Shopmium,Actual Budget - Not Optimised
19/03/2023,Budget,9255.382851,Blended,Programmatic Video,Actual Budget - Not Optimised
19/03/2023,Budget,0,Blended,BVOD,Actual Budget - Not Optimised
19/03/2023,Budget,0,Blended,Social Pinterest,Actual Budget - Not Optimised
26/03/2023,Budget,55693.41746,Blended,TV,Actual Budget - Not Optimised
26/03/2023,Budget,6825.9075,Blended,Social Pinterest ,Actual Budget - Not Optimised
26/03/2023,Budget,959.7777778,Blended,Shopmium,Actual Budget - Not Optimised
