Budget,Channel Group,Response,Region ,Country,Brand,Channel
1000,BakersBVODSuper Foods,3194.130646,EUR,UK,Bakers,BVODSuper Foods
1000,BakersProgrammatic VideoSuper Foods,752.4319975,EUR,UK,Bakers,Programmatic VideoSuper Foods
1000,BakersYoutubeSuper Foods,751.899419,EUR,UK,Bakers,YoutubeSuper Foods
1000,BakersDirect VideoSuper Foods,0.920662062,EUR,UK,Bakers,Direct VideoSuper Foods
1000,BakersTVSuper Foods,1237.011405,EUR,UK,Bakers,TVSuper Foods
1000,BakersSocial FB IGBakers FB&IG,4492.51965,EUR,UK,Bakers,Social FB IGBakers FB&IG
1000,WinalotDisplayWinalot Great British Dogs Partnership,136168.9582,EUR,UK,Winalot,DisplayWinalot Great British Dogs Partnership
1000,WinalotSocialWinalot Great British Dogs Partnership,12408.92375,EUR,UK,Winalot,SocialWinalot Great British Dogs Partnership
1000,WinalotPrintWinalot Great British Dogs Partnership,29087.42191,EUR,UK,Winalot,PrintWinalot Great British Dogs Partnership
1000,WinalotDigitalWinalot Great British Dogs Partnership,4067.980115,EUR,UK,Winalot,DigitalWinalot Great British Dogs Partnership
1000,FelixBVODNaturally Delicious,7519.740128,EUR,UK,Felix,BVODNaturally Delicious
1000,FelixYoutubeNaturally Delicious,77.17308636,EUR,UK,Felix,YoutubeNaturally Delicious
1000,FelixSocial FB IGFelix Treats,935.8528898,EUR,UK,Felix,Social FB IGFelix Treats
1000,FelixTVIGTBAC,4619.09801,EUR,UK,Felix,TVIGTBAC
1000,FelixShopmiumNaturally Delicious,13282.22712,EUR,UK,Felix,ShopmiumNaturally Delicious
1000,FelixSocial FB IGFelix PicknMix,1959.112997,EUR,UK,Felix,Social FB IGFelix PicknMix
1000,FelixSocial SnapchatFelix PicknMix,1127.877777,EUR,UK,Felix,Social SnapchatFelix PicknMix
1000,FelixProgrammatic DisplayNaturally Delicious,10742.61722,EUR,UK,Felix,Programmatic DisplayNaturally Delicious
1000,FelixSocial FB IGIGTBAC,6200.64007,EUR,UK,Felix,Social FB IGIGTBAC
1000,FelixProgrammatic VideoIGTBAC,0.745970598,EUR,UK,Felix,Programmatic VideoIGTBAC
1000,FelixBVODIGTBAC,38269.18871,EUR,UK,Felix,BVODIGTBAC
1000,FelixYouTubeIGTBAC,3755.7586,EUR,UK,Felix,YouTubeIGTBAC
1000,FelixSocial TikTokIGTBAC,3909.325146,EUR,UK,Felix,Social TikTokIGTBAC
1000,GourmetBVODGourmet Mon Petit,1260.664051,EUR,UK,Gourmet,BVODGourmet Mon Petit
1000,GourmetProgrammatic VideoGourmet Mon Petit,191.4694304,EUR,UK,Gourmet,Programmatic VideoGourmet Mon Petit
1000,GourmetSocial FB IGGourmet Mon Petit,71.20881173,EUR,UK,Gourmet,Social FB IGGourmet Mon Petit
1000,GourmetSocial PinterestGourmet Mon Petit,1905.883876,EUR,UK,Gourmet,Social PinterestGourmet Mon Petit
1000,GourmetTVGourmet Revelations,2.396712344,EUR,UK,Gourmet,TVGourmet Revelations
1000,GourmetShopmiumGourmet Mon Petit,1847.917812,EUR,UK,Gourmet,ShopmiumGourmet Mon Petit
1000,GourmetTVGourmet Mon Petit,1569.366023,EUR,UK,Gourmet,TVGourmet Mon Petit
1000,GourmetSocial FB IGGourmet Revelations,16.46394922,EUR,UK,Gourmet,Social FB IGGourmet Revelations
1000,GourmetSocial PinterestGourmet Revelations,2354.417581,EUR,UK,Gourmet,Social PinterestGourmet Revelations
1000,GourmetShopmiumGourmet Revelations,1.301510508,EUR,UK,Gourmet,ShopmiumGourmet Revelations
1000,GourmetBVODGourmet Revelations,37.40109709,EUR,UK,Gourmet,BVODGourmet Revelations
1000,GourmetYouTubeGourmet Revelations,0.01156944,EUR,UK,Gourmet,YouTubeGourmet Revelations
1000,GourmetProgrammatic VideoGourmet Revelations,0.000355284,EUR,UK,Gourmet,Programmatic VideoGourmet Revelations
1000,Purina OneTVBifensis Microbiome,1392.617069,EUR,UK,Purina One,TVBifensis Microbiome
1000,Purina OneSocial Pinterest Bifensis Microbiome,12845.64597,EUR,UK,Purina One,Social Pinterest Bifensis Microbiome
1000,Purina OneShopmiumBifensis Microbiome,22938.59427,EUR,UK,Purina One,ShopmiumBifensis Microbiome
1000,Purina OneProgrammatic VideoBifensis Microbiome,50.94246489,EUR,UK,Purina One,Programmatic VideoBifensis Microbiome
1000,Purina OneBVODBifensis Microbiome,22286.45679,EUR,UK,Purina One,BVODBifensis Microbiome
1000,Purina OneSocial PinterestBifensis Microbiome,6256.741183,EUR,UK,Purina One,Social PinterestBifensis Microbiome
2000,BakersBVODSuper Foods,4708.329414,EUR,UK,Bakers,BVODSuper Foods
2000,BakersProgrammatic VideoSuper Foods,1504.291022,EUR,UK,Bakers,Programmatic VideoSuper Foods
2000,BakersYoutubeSuper Foods,1503.211877,EUR,UK,Bakers,YoutubeSuper Foods
2000,BakersDirect VideoSuper Foods,1.840623044,EUR,UK,Bakers,Direct VideoSuper Foods
2000,BakersTVSuper Foods,2468.867202,EUR,UK,Bakers,TVSuper Foods
2000,BakersSocial FB IGBakers FB&IG,8366.803356,EUR,UK,Bakers,Social FB IGBakers FB&IG
2000,WinalotDisplayWinalot Great British Dogs Partnership,261909.2184,EUR,UK,Winalot,DisplayWinalot Great British Dogs Partnership
2000,WinalotSocialWinalot Great British Dogs Partnership,23843.95438,EUR,UK,Winalot,SocialWinalot Great British Dogs Partnership
2000,WinalotPrintWinalot Great British Dogs Partnership,55897.84816,EUR,UK,Winalot,PrintWinalot Great British Dogs Partnership
2000,WinalotDigitalWinalot Great British Dogs Partnership,7805.433327,EUR,UK,Winalot,DigitalWinalot Great British Dogs Partnership
2000,FelixBVODNaturally Delicious,14512.86507,EUR,UK,Felix,BVODNaturally Delicious
2000,FelixYoutubeNaturally Delicious,154.3439459,EUR,UK,Felix,YoutubeNaturally Delicious
2000,FelixSocial FB IGFelix Treats,1871.673638,EUR,UK,Felix,Social FB IGFelix Treats
2000,FelixTVIGTBAC,9226.036782,EUR,UK,Felix,TVIGTBAC
2000,FelixShopmiumNaturally Delicious,25659.08741,EUR,UK,Felix,ShopmiumNaturally Delicious
2000,FelixSocial FB IGFelix PicknMix,3918.065231,EUR,UK,Felix,Social FB IGFelix PicknMix
2000,FelixSocial SnapchatFelix PicknMix,2255.663001,EUR,UK,Felix,Social SnapchatFelix PicknMix
2000,FelixProgrammatic DisplayNaturally Delicious,21480.1154,EUR,UK,Felix,Programmatic DisplayNaturally Delicious
2000,FelixSocial FB IGIGTBAC,12400.77808,EUR,UK,Felix,Social FB IGIGTBAC
2000,FelixProgrammatic VideoIGTBAC,1.491585727,EUR,UK,Felix,Programmatic VideoIGTBAC
