,Date,Opt Channel,Value,Scenario,Budget/Revenue,Country,Brand,Channel Group,Channel
0,2020-01-12,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
1,2020-01-19,6Play_France_Chocapic,6666.669974951074,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
2,2020-01-26,6Play_France_Chocapic,6666.670042340954,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
3,2020-02-02,6Play_France_Chocapic,6666.670072195431,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
4,2020-02-09,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
5,2020-02-16,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
6,2020-02-23,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
7,2020-03-01,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
8,2020-03-08,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
9,2020-03-15,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
10,2020-03-22,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
11,2020-03-29,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
12,2020-04-05,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
13,2020-04-12,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
14,2020-04-19,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
15,2020-04-26,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
16,2020-05-03,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
17,2020-05-10,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
18,2020-05-17,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
19,2020-05-24,6Play_France_Chocapic,5509.284239804001,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
20,2020-05-31,6Play_France_Chocapic,6282.650959759668,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
21,2020-06-07,6Play_France_Chocapic,5869.106739873334,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
22,2020-06-14,6Play_France_Chocapic,4899.872960113,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
23,2020-06-21,6Play_France_Chocapic,3392.6979199280004,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
24,2020-06-28,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
25,2020-07-05,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
26,2020-07-12,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
27,2020-07-19,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
28,2020-07-26,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
29,2020-08-02,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
30,2020-08-09,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
31,2020-08-16,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
32,2020-08-23,6Play_France_Chocapic,4424.794989481667,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
33,2020-08-30,6Play_France_Chocapic,4569.093830342334,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
34,2020-09-06,6Play_France_Chocapic,4009.0699999000008,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
35,2020-09-13,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
36,2020-09-20,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
37,2020-09-27,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
38,2020-10-04,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
39,2020-10-11,6Play_France_Chocapic,3400.563949839001,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
40,2020-10-18,6Play_France_Chocapic,3600.7325603626673,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
41,2020-10-25,6Play_France_Chocapic,6015.040710308001,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
42,2020-11-01,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
43,2020-11-08,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
44,2020-11-15,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
45,2020-11-22,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
46,2020-11-29,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
47,2020-12-06,6Play_France_Chocapic,3995.672580250667,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
48,2020-12-13,6Play_France_Chocapic,6184.892149715335,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
49,2020-12-20,6Play_France_Chocapic,1815.4778898893337,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
50,2020-12-27,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
51,2021-01-03,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
52,2021-01-10,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
53,2021-01-17,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
54,2021-01-24,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
55,2021-01-31,6Play_France_Chocapic,7647.027597024335,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
56,2021-02-07,6Play_France_Chocapic,8354.975969867335,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
57,2021-02-14,6Play_France_Chocapic,7399.3537768080005,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
58,2021-02-21,6Play_France_Chocapic,5116.682392906001,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
59,2021-02-28,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
60,2021-03-07,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
61,2021-03-14,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
62,2021-03-21,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
63,2021-03-28,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
64,2021-04-04,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
65,2021-04-11,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
66,2021-04-18,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
67,2021-04-25,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
68,2021-05-02,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
69,2021-05-09,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
70,2021-05-16,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
71,2021-05-23,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
72,2021-05-30,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
73,2021-06-06,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
74,2021-06-13,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
75,2021-06-20,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
76,2021-06-27,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
77,2021-07-04,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
78,2021-07-11,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
79,2021-07-18,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
80,2021-07-25,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
81,2021-08-01,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
82,2021-08-08,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
83,2021-08-15,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
84,2021-08-22,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
85,2021-08-29,6Play_France_Chocapic,3757.6254188370003,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
86,2021-09-05,6Play_France_Chocapic,3757.6254190536674,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
87,2021-09-12,6Play_France_Chocapic,3757.625418727334,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
88,2021-09-19,6Play_France_Chocapic,3757.625418831334,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
89,2021-09-26,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
90,2021-10-03,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
91,2021-10-10,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
92,2021-10-17,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
93,2021-10-24,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
94,2021-10-31,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
95,2021-11-07,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
96,2021-11-14,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
97,2021-11-21,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
98,2021-11-28,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
99,2021-12-05,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
100,2021-12-12,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
101,2021-12-19,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
102,2021-12-26,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
103,2022-01-02,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
104,2022-01-09,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
105,2022-01-16,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
106,2022-01-23,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
107,2022-01-30,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
108,2022-02-06,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
109,2022-02-13,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
110,2022-02-20,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
111,2022-02-27,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
112,2022-03-06,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
113,2022-03-13,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
114,2022-03-20,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
115,2022-03-27,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
116,2022-04-03,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
117,2022-04-10,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
118,2022-04-17,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
119,2022-04-24,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
120,2022-05-01,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
121,2022-05-08,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
122,2022-05-15,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
123,2022-05-22,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
124,2022-05-29,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
125,2022-06-05,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
126,2022-06-12,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
127,2022-06-19,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
128,2022-06-26,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
129,2022-07-03,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
130,2022-07-10,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
131,2022-07-17,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
132,2022-07-24,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
133,2022-07-31,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
134,2022-08-07,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
135,2022-08-14,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
136,2022-08-21,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
137,2022-08-28,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
138,2022-09-04,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
139,2022-09-11,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
140,2022-09-18,6Play_France_Chocapic,0.0,Scenario 1 (Unoptimised),Budget,France,Chocapic,OLV,6Play
